23:40:16.694 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
23:40:16.700 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
19:13:17.655 [ApplicationImpl pooled thread 867] INFO  c.b.l.BrowserStackRunExtension - testng
19:13:17.655 [ApplicationImpl pooled thread 867] INFO  com.browserstack.utils.Helpers - null
19:13:17.657 [ApplicationImpl pooled thread 867] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:14:28.858 [ApplicationImpl pooled thread 855] INFO  c.b.l.BrowserStackRunExtension - testng
19:14:28.859 [ApplicationImpl pooled thread 855] INFO  com.browserstack.utils.Helpers - null
19:14:28.859 [ApplicationImpl pooled thread 855] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:17:27.559 [ApplicationImpl pooled thread 874] INFO  c.b.l.BrowserStackRunExtension - testng
19:17:27.559 [ApplicationImpl pooled thread 874] INFO  com.browserstack.utils.Helpers - null
19:17:27.559 [ApplicationImpl pooled thread 874] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:32:17.952 [ApplicationImpl pooled thread 883] INFO  c.b.l.BrowserStackRunExtension - testng
19:32:17.952 [ApplicationImpl pooled thread 883] INFO  com.browserstack.utils.Helpers - null
19:32:17.952 [ApplicationImpl pooled thread 883] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:33:41.053 [ApplicationImpl pooled thread 888] INFO  c.b.l.BrowserStackRunExtension - testng
19:33:41.054 [ApplicationImpl pooled thread 888] INFO  com.browserstack.utils.Helpers - null
19:33:41.054 [ApplicationImpl pooled thread 888] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:35:12.125 [ApplicationImpl pooled thread 883] INFO  c.b.l.BrowserStackRunExtension - testng
19:35:12.125 [ApplicationImpl pooled thread 883] INFO  com.browserstack.utils.Helpers - null
19:35:12.125 [ApplicationImpl pooled thread 883] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:37:44.457 [ApplicationImpl pooled thread 891] INFO  c.b.l.BrowserStackRunExtension - testng
19:37:44.457 [ApplicationImpl pooled thread 891] INFO  com.browserstack.utils.Helpers - null
19:37:44.457 [ApplicationImpl pooled thread 891] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:55:19.720 [ApplicationImpl pooled thread 893] INFO  c.b.l.BrowserStackRunExtension - testng
19:55:19.721 [ApplicationImpl pooled thread 893] INFO  com.browserstack.utils.Helpers - null
19:55:19.721 [ApplicationImpl pooled thread 893] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:00:04.389 [ApplicationImpl pooled thread 902] INFO  c.b.l.BrowserStackRunExtension - testng
20:00:04.389 [ApplicationImpl pooled thread 902] INFO  com.browserstack.utils.Helpers - null
20:00:04.389 [ApplicationImpl pooled thread 902] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:01:28.339 [ApplicationImpl pooled thread 905] INFO  c.b.l.BrowserStackRunExtension - testng
20:01:28.339 [ApplicationImpl pooled thread 905] INFO  com.browserstack.utils.Helpers - null
20:01:28.340 [ApplicationImpl pooled thread 905] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:21:12.217 [ApplicationImpl pooled thread 960] INFO  c.b.l.BrowserStackRunExtension - testng
22:21:12.217 [ApplicationImpl pooled thread 960] INFO  com.browserstack.utils.Helpers - null
22:21:12.217 [ApplicationImpl pooled thread 960] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:23:13.148 [ApplicationImpl pooled thread 955] INFO  c.b.l.BrowserStackRunExtension - testng
22:23:13.148 [ApplicationImpl pooled thread 955] INFO  com.browserstack.utils.Helpers - null
22:23:13.148 [ApplicationImpl pooled thread 955] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:25:59.122 [ApplicationImpl pooled thread 955] INFO  c.b.l.BrowserStackRunExtension - testng
22:25:59.122 [ApplicationImpl pooled thread 955] INFO  com.browserstack.utils.Helpers - null
22:25:59.123 [ApplicationImpl pooled thread 955] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:27:05.712 [ApplicationImpl pooled thread 974] INFO  c.b.l.BrowserStackRunExtension - testng
22:27:05.713 [ApplicationImpl pooled thread 974] INFO  com.browserstack.utils.Helpers - null
22:27:05.714 [ApplicationImpl pooled thread 974] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:32:26.302 [ApplicationImpl pooled thread 980] INFO  c.b.l.BrowserStackRunExtension - testng
22:32:26.302 [ApplicationImpl pooled thread 980] INFO  com.browserstack.utils.Helpers - null
22:32:26.302 [ApplicationImpl pooled thread 980] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:34:48.563 [ApplicationImpl pooled thread 984] INFO  c.b.l.BrowserStackRunExtension - testng
22:34:48.564 [ApplicationImpl pooled thread 984] INFO  com.browserstack.utils.Helpers - null
22:34:48.564 [ApplicationImpl pooled thread 984] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:38:59.106 [ApplicationImpl pooled thread 988] INFO  c.b.l.BrowserStackRunExtension - testng
22:38:59.106 [ApplicationImpl pooled thread 988] INFO  com.browserstack.utils.Helpers - null
22:38:59.107 [ApplicationImpl pooled thread 988] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:56:16.597 [ApplicationImpl pooled thread 1002] INFO  c.b.l.BrowserStackRunExtension - testng
22:56:16.598 [ApplicationImpl pooled thread 1002] INFO  com.browserstack.utils.Helpers - null
22:56:16.598 [ApplicationImpl pooled thread 1002] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:08:25.870 [ApplicationImpl pooled thread 1001] INFO  c.b.l.BrowserStackRunExtension - testng
23:08:25.870 [ApplicationImpl pooled thread 1001] INFO  com.browserstack.utils.Helpers - null
23:08:25.870 [ApplicationImpl pooled thread 1001] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:39:00.591 [ApplicationImpl pooled thread 1023] INFO  c.b.l.BrowserStackRunExtension - testng
23:39:00.591 [ApplicationImpl pooled thread 1023] INFO  com.browserstack.utils.Helpers - null
23:39:00.591 [ApplicationImpl pooled thread 1023] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:39:35.580 [ApplicationImpl pooled thread 1026] INFO  c.b.l.BrowserStackRunExtension - testng
23:39:35.580 [ApplicationImpl pooled thread 1026] INFO  com.browserstack.utils.Helpers - null
23:39:35.580 [ApplicationImpl pooled thread 1026] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:39:44.464 [ApplicationImpl pooled thread 1025] INFO  c.b.l.BrowserStackRunExtension - testng
23:39:44.464 [ApplicationImpl pooled thread 1025] INFO  com.browserstack.utils.Helpers - null
23:39:44.464 [ApplicationImpl pooled thread 1025] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:40:53.194 [ApplicationImpl pooled thread 1025] INFO  c.b.l.BrowserStackRunExtension - testng
23:40:53.194 [ApplicationImpl pooled thread 1025] INFO  com.browserstack.utils.Helpers - null
23:40:53.194 [ApplicationImpl pooled thread 1025] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:25:58.337 [ApplicationImpl pooled thread 1066] INFO  c.b.l.BrowserStackRunExtension - testng
22:25:58.338 [ApplicationImpl pooled thread 1066] INFO  com.browserstack.utils.Helpers - null
22:25:58.338 [ApplicationImpl pooled thread 1066] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:28:03.172 [ApplicationImpl pooled thread 1069] INFO  c.b.l.BrowserStackRunExtension - testng
22:28:03.172 [ApplicationImpl pooled thread 1069] INFO  com.browserstack.utils.Helpers - null
22:28:03.173 [ApplicationImpl pooled thread 1069] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:29:46.858 [ApplicationImpl pooled thread 1075] INFO  c.b.l.BrowserStackRunExtension - testng
22:29:46.858 [ApplicationImpl pooled thread 1075] INFO  com.browserstack.utils.Helpers - null
22:29:46.859 [ApplicationImpl pooled thread 1075] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:31:23.572 [ApplicationImpl pooled thread 1074] INFO  c.b.l.BrowserStackRunExtension - testng
22:31:23.572 [ApplicationImpl pooled thread 1074] INFO  com.browserstack.utils.Helpers - null
22:31:23.572 [ApplicationImpl pooled thread 1074] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:31:27.138 [ApplicationImpl pooled thread 1069] INFO  c.b.l.BrowserStackRunExtension - testng
22:31:27.138 [ApplicationImpl pooled thread 1069] INFO  com.browserstack.utils.Helpers - null
22:31:27.138 [ApplicationImpl pooled thread 1069] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:31:34.304 [ApplicationImpl pooled thread 1077] INFO  c.b.l.BrowserStackRunExtension - testng
22:31:34.304 [ApplicationImpl pooled thread 1077] INFO  com.browserstack.utils.Helpers - null
22:31:34.305 [ApplicationImpl pooled thread 1077] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:13:18.775 [ApplicationImpl pooled thread 1098] INFO  c.b.l.BrowserStackRunExtension - testng
23:13:18.775 [ApplicationImpl pooled thread 1098] INFO  com.browserstack.utils.Helpers - null
